PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,"FT Freq%","TOV Freq%","SF Freq%","And One Freq%","Score Freq%",Percentile
Dante Exum,DAL,20,2.6,29.8,0.90,2.3,0.9,1.8,47.2,50.0,15.7,15.7,15.7,2.0,45.1,61.4
Khris Middleton,WAS,14,3.2,28.1,1.00,3.2,1.0,2.5,40.0,42.9,22.2,6.7,20.0,6.7,46.7,82.6
Quentin Grimes,DAL,47,1.0,10.3,0.96,1.0,0.4,0.9,45.0,55.0,4.3,12.8,4.3,2.1,40.4,74.5
Caleb Martin,PHI,31,1.6,16.5,0.86,1.4,0.5,1.1,48.6,48.6,13.7,17.6,5.9,0.0,47.1,51.9
Zaccharie Risacher,ATL,75,0.7,5.7,0.83,0.6,0.3,0.5,48.8,51.2,1.9,20.8,1.9,0.0,39.6,43.0
Keaton Wallace,ATL,31,1.8,27.5,0.80,1.4,0.6,1.5,40.4,44.7,1.8,12.7,1.8,0.0,36.4,35.3
Jaren Jackson Jr.,MEM,74,0.9,4.3,0.67,0.6,0.2,0.6,37.2,39.5,10.6,25.8,9.1,1.5,33.3,13.7
Elfrid Payton,NOP,18,4.4,51.6,0.55,2.4,1.2,3.0,38.9,38.9,2.5,31.3,1.3,1.3,27.5,5.7
Lonnie Walker IV,PHI,20,3.0,23.7,0.73,2.2,0.7,2.3,31.1,37.8,8.5,15.3,6.8,0.0,32.2,23.1
Bam Adebayo,MIA,78,0.5,2.7,1.08,0.5,0.2,0.4,48.4,54.8,12.8,10.3,12.8,2.6,48.7,93.2
Tre Jones,CHI,18,2.4,25.3,0.95,2.3,0.9,2.1,43.2,43.2,13.6,6.8,11.4,4.5,45.5,73.5
Naz Reid,MIN,80,0.6,4.3,0.89,0.5,0.2,0.5,38.1,44.0,6.4,4.3,6.4,0.0,40.4,60.5
Dalton Knecht,LAL,78,0.7,8.4,0.79,0.5,0.2,0.6,34.9,41.9,5.7,13.2,5.7,0.0,34.0,33.5
Cody Martin,CHA,39,1.4,16.5,0.74,1.1,0.4,1.1,36.4,40.9,9.1,10.9,7.3,0.0,34.5,25.8
Tim Hardaway Jr.,DET,77,0.6,6.2,0.82,0.5,0.2,0.5,35.7,42.9,6.1,10.2,6.1,2.0,34.7,38.9
Shake Milton,BKN,27,2.0,27.7,0.76,1.5,0.6,1.5,39.0,40.2,11.3,15.1,9.4,3.8,37.7,27.9
Dillon Brooks,HOU,75,0.7,5.4,0.73,0.5,0.2,0.7,34.0,37.0,5.5,5.5,5.5,1.8,34.5,22.3
Pascal Siakam,IND,78,0.7,4.1,0.69,0.5,0.2,0.6,30.6,34.7,8.6,6.9,8.6,0.0,32.8,17.2
Jalen Wilson,BKN,79,0.7,7.7,0.68,0.5,0.2,0.6,27.3,28.4,16.9,10.2,15.3,1.7,33.9,14.8
Keon Ellis,SAC,80,0.5,6.5,1.05,0.5,0.1,0.3,45.5,59.1,16.2,24.3,16.2,0.0,43.2,90.5
Isaiah Wong,CHA,20,1.9,27.3,1.03,2.0,0.7,1.6,45.2,50.0,13.2,7.9,13.2,2.6,47.4,86.9
Alec Burks,MIA,49,0.8,12.5,0.97,0.8,0.3,0.6,45.2,54.8,10.0,17.5,7.5,5.0,40.0,76.3
Grayson Allen,PHX,64,0.9,9.4,0.67,0.6,0.2,0.6,30.0,37.5,8.6,22.4,8.6,0.0,29.3,14.5
Kenrich Williams,OKC,69,0.5,8.8,1.06,0.6,0.2,0.4,50.0,55.0,13.9,8.3,13.9,5.6,47.2,90.8
Max Christie,DAL,32,1.7,14.2,0.69,1.2,0.4,1.2,33.3,35.9,7.4,20.4,7.4,0.0,31.5,16.0
Marcus Smart,WAS,15,2.7,28.7,0.88,2.4,0.8,1.7,46.2,48.1,19.5,17.1,9.8,0.0,48.8,56.1
Karl-Anthony Towns,NYK,72,0.7,3.1,0.75,0.5,0.2,0.5,30.6,34.7,14.6,12.5,14.6,2.1,35.4,26.9
Matas Buzelis,CHI,80,0.6,7.2,0.73,0.5,0.1,0.4,35.5,35.5,14.3,22.4,14.3,0.0,36.7,24.0
Ronald Holland II,DET,81,0.5,8.0,0.81,0.4,0.1,0.4,41.4,43.1,20.9,16.3,20.9,4.7,41.9,38.3
De'Andre Hunter,CLE,27,0.9,7.3,1.42,1.3,0.5,0.9,56.5,71.7,4.2,0.0,4.2,0.0,58.3,99.4
Dalen Terry,CHI,73,0.5,10.8,0.90,0.5,0.2,0.4,50.0,51.9,13.2,18.4,10.5,0.0,44.7,60.8
Nikola Jović,MIA,46,0.9,9.1,0.79,0.7,0.2,0.6,38.5,44.2,16.3,27.9,16.3,4.7,34.9,33.2
Corey Kispert,WAS,61,0.9,8.6,0.60,0.6,0.2,0.6,33.3,34.7,10.5,28.1,10.5,1.8,29.8,7.4
Pat Connaughton,MIL,41,0.8,15.4,1.00,0.8,0.3,0.6,56.5,65.2,9.1,24.2,6.1,3.0,45.5,82.6
Keegan Murray,SAC,76,0.4,3.6,1.00,0.4,0.2,0.4,55.2,55.2,3.0,12.1,3.0,3.0,48.5,82.6
Quenton Jackson,IND,28,1.1,19.7,1.03,1.1,0.4,0.9,46.2,53.8,6.5,9.7,3.2,0.0,45.2,87.8
Jaylen Wells,MEM,79,0.3,3.4,1.15,0.4,0.2,0.3,50.0,56.3,7.4,7.4,7.4,3.7,48.1,96.7
Obi Toppin,IND,79,0.4,4.0,1.07,0.4,0.2,0.3,48.0,56.0,10.3,10.3,10.3,6.9,44.8,92.3
Harrison Barnes,SAS,82,0.4,3.6,1.03,0.4,0.1,0.3,48.0,50.0,16.7,6.7,16.7,6.7,50.0,88.1
DaQuan Jeffries,CHA,47,0.7,10.0,0.91,0.7,0.3,0.6,44.4,50.0,8.8,11.8,8.8,0.0,44.1,64.9
Reggie Jackson,PHI,31,1.2,23.5,0.86,1.0,0.4,0.9,44.4,53.7,5.6,22.2,5.6,2.8,36.1,51.3
Jalen Hood-Schifino,PHI,13,2.8,29.3,0.83,2.3,0.8,2.4,35.5,40.3,8.3,8.3,8.3,2.8,36.1,44.0
Ausar Thompson,DET,59,0.6,6.1,0.81,0.5,0.2,0.3,60.0,60.0,18.9,29.7,18.9,2.7,45.9,37.7
Kevin Huerter,CHI,26,1.5,11.4,0.79,1.2,0.5,1.1,41.4,51.7,0.0,23.7,0.0,0.0,31.6,32.9
Sam Hauser,BOS,71,0.3,4.0,1.45,0.4,0.2,0.3,57.9,73.7,5.0,5.0,5.0,5.0,55.0,99.7
Amir Coffey,LAC,72,0.5,5.7,0.83,0.4,0.2,0.4,41.4,43.1,5.7,11.4,5.7,0.0,40.0,42.4
Blake Wesley,SAS,58,1.0,21.2,0.51,0.5,0.2,0.4,36.0,36.0,15.8,40.4,15.8,0.0,29.8,4.5
Tari Eason,HOU,57,0.5,4.2,1.00,0.5,0.2,0.4,55.0,55.0,10.7,17.9,10.7,0.0,50.0,82.6
Ochai Agbaji,TOR,64,0.5,5.3,0.88,0.4,0.2,0.4,48.1,51.9,0.0,15.6,0.0,0.0,40.6,55.1
Trevelin Queen,ORL,31,1.1,19.6,0.80,0.9,0.3,0.8,40.0,48.0,5.7,22.9,5.7,0.0,34.3,35.3
Draymond Green,GSW,69,0.5,4.9,0.76,0.4,0.1,0.3,39.1,39.1,16.2,21.6,13.5,0.0,40.5,28.2
Jalen Duren,DET,78,0.3,2.5,1.35,0.3,0.1,0.2,71.4,71.4,35.0,10.0,35.0,15.0,70.0,98.8
Antonio Reeves,NOP,44,0.7,10.9,0.84,0.6,0.2,0.5,41.7,47.9,6.3,18.8,3.1,0.0,37.5,47.5
Cory Joseph,ORL,50,0.7,19.0,0.79,0.5,0.2,0.5,40.0,42.0,11.8,17.6,8.8,2.9,38.2,33.8
Jeremy Sochan,SAS,54,0.5,4.3,1.00,0.5,0.2,0.4,57.9,57.9,11.5,15.4,11.5,0.0,53.8,82.6
Justin Champagnie,WAS,62,0.5,6.2,0.84,0.4,0.1,0.3,38.1,42.9,12.9,19.4,9.7,0.0,38.7,45.4
Tre Jones,SAS,28,1.1,24.6,0.81,0.9,0.3,0.8,38.1,38.1,22.6,16.1,12.9,6.5,41.9,36.9
Ben Simmons,BKN,33,1.2,14.4,0.64,0.8,0.4,0.7,50.0,50.0,2.6,35.9,2.6,0.0,33.3,11.3
Terance Mann,ATL,30,0.8,9.1,1.04,0.8,0.4,0.7,50.0,52.3,4.3,0.0,4.3,0.0,52.2,89.6
Alex Sarr,WAS,67,0.4,2.6,0.89,0.4,0.1,0.3,50.0,55.0,11.1,18.5,11.1,3.7,40.7,59.3
Jett Howard,ORL,60,0.6,11.4,0.69,0.4,0.2,0.4,36.0,42.0,5.7,22.9,2.9,0.0,31.4,16.3
Ricky Council IV,PHI,73,0.6,7.4,0.56,0.3,0.1,0.5,24.3,25.7,7.0,7.0,7.0,0.0,27.9,6.2
Tidjane Salaün,CHA,60,0.9,11.8,0.45,0.4,0.1,0.7,20.5,25.0,1.9,15.1,1.9,0.0,18.9,3.0
Luguentz Dort,OKC,71,0.4,3.9,0.89,0.3,0.1,0.3,39.1,45.7,7.7,3.8,7.7,0.0,38.5,58.2
Shake Milton,LAL,30,0.9,21.9,0.82,0.8,0.2,0.6,38.9,38.9,21.4,17.9,21.4,3.6,42.9,40.7
Max Christie,LAL,46,0.9,11.3,0.56,0.5,0.1,0.6,23.1,23.1,14.6,22.0,12.2,0.0,29.3,6.5
Bogdan Bogdanović,ATL,24,1.0,8.8,0.92,0.9,0.3,0.5,53.8,57.7,12.5,33.3,8.3,0.0,41.7,66.6
Bruce Brown,NOP,23,2.0,21.1,0.49,1.0,0.4,1.5,25.7,25.7,8.9,15.6,6.7,2.2,26.7,3.6
Lauri Markkanen,UTA,47,0.5,2.6,0.95,0.4,0.1,0.3,50.0,53.6,13.6,22.7,13.6,0.0,45.5,73.5
Kris Dunn,LAC,74,0.4,5.6,0.72,0.3,0.1,0.3,45.5,47.7,0.0,24.1,0.0,0.0,34.5,22.0
Josh Green,CHA,68,0.6,7.5,0.54,0.3,0.1,0.4,34.6,34.6,5.1,30.8,5.1,2.6,25.6,5.1
Tosan Evbuomwan,BKN,28,0.8,7.8,0.87,0.7,0.3,0.6,50.0,50.0,8.7,13.0,8.7,0.0,47.8,54.0
Isaiah Joe,OKC,74,0.4,4.8,0.65,0.3,0.1,0.3,31.8,43.2,6.5,22.6,3.2,0.0,25.8,11.6
Aaron Nesmith,IND,45,0.7,7.1,0.63,0.4,0.2,0.6,25.9,27.8,12.5,9.4,9.4,6.3,28.1,9.6
Jordan Miller,LAC,37,0.5,11.3,0.95,0.5,0.2,0.5,38.9,38.9,15.0,0.0,10.0,5.0,45.0,72.1
Toumani Camara,POR,78,0.3,2.8,0.76,0.2,0.1,0.2,38.9,50.0,4.0,24.0,4.0,0.0,32.0,28.7
Kyle Filipowski,UTA,72,0.2,2.3,1.13,0.3,0.1,0.1,66.7,72.2,25.0,25.0,25.0,6.3,56.3,96.1
Terance Mann,LAC,37,0.6,8.9,0.86,0.5,0.2,0.5,41.2,47.1,9.5,9.5,9.5,0.0,38.1,50.1
Max Strus,CLE,50,0.5,5.4,0.75,0.4,0.1,0.3,37.5,56.3,0.0,33.3,0.0,0.0,25.0,26.9
Cody Williams,UTA,50,0.6,9.1,0.62,0.4,0.1,0.4,35.0,35.0,13.8,20.7,10.3,3.4,31.0,9.2
Jamal Cain,NOP,37,0.3,5.4,1.54,0.5,0.2,0.3,70.0,85.0,0.0,9.1,0.0,0.0,63.6,100
Kevin Huerter,SAC,43,0.4,4.7,1.00,0.4,0.2,0.3,50.0,60.7,0.0,17.6,0.0,0.0,41.2,82.6
Bruce Brown,TOR,18,1.3,14.7,0.71,0.9,0.3,1.1,26.3,26.3,16.7,8.3,16.7,4.2,33.3,18.8
Ziaire Williams,BKN,63,0.4,3.7,0.71,0.3,0.1,0.2,33.3,33.3,16.7,25.0,12.5,4.2,33.3,18.8
Devin Carter,SAC,36,0.9,19.9,0.52,0.5,0.2,0.7,29.2,31.3,6.1,21.2,6.1,0.0,24.2,4.7
Delon Wright,MIL,26,1.5,35.8,0.45,0.7,0.2,1.0,22.2,22.2,10.5,18.4,7.9,0.0,26.3,2.7
Herbert Jones,NOP,20,1.0,8.4,0.84,0.8,0.3,0.6,54.5,54.5,10.5,31.6,10.5,0.0,42.1,46.6
Alex Caruso,OKC,54,0.4,5.9,0.73,0.3,0.1,0.3,33.3,40.0,13.6,22.7,13.6,4.5,31.8,22.3
Jaylen Nowell,NOP,8,3.0,27.9,0.67,2.0,1.0,2.4,42.1,42.1,0.0,20.8,0.0,0.0,33.3,13.7
Kyle Lowry,PHI,35,0.8,17.5,0.59,0.5,0.1,0.5,22.2,22.2,18.5,14.8,18.5,0.0,33.3,7.1
Damion Baugh,CHA,15,2.9,25.7,0.37,1.1,0.5,2.1,22.6,22.6,2.3,25.6,2.3,0.0,18.6,2.4
Dru Smith,MIA,14,1.1,19.0,0.94,1.1,0.5,1.0,50.0,53.6,0.0,12.5,0.0,0.0,43.8,71.2
Pelle Larsson,MIA,55,0.3,7.1,0.83,0.3,0.1,0.3,35.7,39.3,16.7,5.6,16.7,0.0,44.4,44.0
Moses Moody,GSW,74,0.3,2.9,0.75,0.2,0.1,0.2,37.5,37.5,10.0,10.0,10.0,0.0,40.0,26.9
Colby Jones,WAS,15,1.4,15.6,0.71,1.0,0.4,1.0,40.0,40.0,9.5,19.0,4.8,0.0,38.1,20.2
Julian Champagnie,SAS,82,0.3,3.2,0.60,0.2,0.1,0.2,31.6,39.5,0.0,24.0,0.0,0.0,24.0,7.7
Taurean Prince,MIL,80,0.5,6.8,0.36,0.2,0.1,0.4,21.9,23.4,2.4,21.4,2.4,0.0,16.7,1.8
A.J. Lawson,TOR,26,0.6,6.5,0.93,0.5,0.2,0.3,44.4,44.4,20.0,20.0,20.0,0.0,46.7,70.2
Nic Claxton,BKN,70,0.2,2.2,0.88,0.2,0.1,0.2,42.9,42.9,6.3,6.3,6.3,0.0,43.8,55.1
Kobe Bufkin,ATL,10,1.7,26.6,0.82,1.4,0.5,1.1,45.5,45.5,11.8,23.5,11.8,0.0,41.2,41.8
Anthony Davis,DAL,9,2.1,9.8,0.74,1.6,0.6,1.7,33.3,40.0,5.3,15.8,5.3,0.0,31.6,24.9
Kyle Anderson,MIA,25,0.9,12.9,0.64,0.6,0.2,0.6,28.6,28.6,13.6,22.7,13.6,0.0,31.8,10.7
AJ Green,MIL,73,0.4,5.9,0.50,0.2,0.1,0.3,22.7,31.8,0.0,21.4,0.0,0.0,17.9,3.9
Wendell Moore Jr.,DET,20,0.6,17.2,1.18,0.7,0.2,0.4,37.5,43.8,27.3,0.0,27.3,0.0,54.5,97.9
Landry Shamet,NYK,50,0.2,4.2,1.18,0.3,0.1,0.2,45.5,59.1,0.0,0.0,0.0,0.0,45.5,97.9
Baylor Scheierman,BOS,31,0.4,9.4,1.08,0.4,0.2,0.4,45.5,54.5,8.3,0.0,8.3,0.0,50.0,93.5
Jamison Battle,TOR,59,0.2,3.7,0.93,0.2,0.1,0.2,45.5,59.1,0.0,21.4,0.0,0.0,35.7,68.8
Peyton Watson,DEN,68,0.2,2.6,0.93,0.2,0.1,0.1,40.0,40.0,21.4,14.3,21.4,7.1,42.9,68.8
Killian Hayes,BKN,6,2.8,29.3,0.77,2.2,0.5,2.0,25.0,25.0,23.5,5.9,17.6,0.0,41.2,30.1
Jordan Goodwin,LAL,29,0.7,10.6,0.68,0.4,0.2,0.5,42.9,46.4,0.0,26.3,0.0,0.0,31.6,15.7
John Collins,UTA,40,0.3,1.4,1.20,0.3,0.1,0.2,62.5,75.0,0.0,20.0,0.0,0.0,50.0,98.5
Marcus Garrett,CHA,4,3.0,34.3,1.00,3.0,1.3,2.0,62.5,62.5,8.3,25.0,0.0,0.0,50.0,82.6
Jaylen Martin,WAS,13,1.2,17.0,0.80,0.9,0.3,0.7,44.4,50.0,13.3,33.3,13.3,6.7,33.3,35.3
Eric Gordon,PHI,39,0.4,6.6,0.65,0.3,0.1,0.3,27.3,31.8,17.6,23.5,17.6,5.9,29.4,11.9
Lester Quinones,NOP,9,2.0,21.2,0.61,1.2,0.6,1.4,38.5,42.3,0.0,27.8,0.0,0.0,27.8,8.4
Ousmane Dieng,OKC,37,0.5,12.0,0.61,0.3,0.1,0.2,44.4,50.0,5.6,44.4,5.6,0.0,27.8,8.4
GG Jackson,MEM,29,0.6,7.3,0.61,0.4,0.1,0.4,23.1,23.1,16.7,11.1,11.1,0.0,33.3,8.4
Jabari Smith Jr.,HOU,57,0.4,2.9,0.55,0.2,0.1,0.3,31.3,34.4,0.0,20.0,0.0,0.0,25.0,5.7
Reece Beekman,BKN,34,0.9,23.4,0.34,0.3,0.1,0.7,16.7,16.7,6.3,18.8,3.1,0.0,18.8,1.5
Ben Sheppard,IND,63,0.2,3.8,0.83,0.2,0.0,0.1,37.5,37.5,16.7,16.7,8.3,0.0,41.7,44.0
Chet Holmgren,OKC,32,0.4,2.6,0.83,0.3,0.1,0.2,50.0,50.0,25.0,25.0,25.0,0.0,50.0,44.0
Vince Williams Jr.,MEM,27,0.5,6.2,0.77,0.4,0.1,0.3,50.0,62.5,0.0,38.5,0.0,0.0,30.8,30.6
Josh Okogie,CHA,15,0.9,10.2,0.71,0.7,0.2,0.7,30.0,40.0,14.3,14.3,14.3,0.0,35.7,20.2
Sam Merrill,CLE,71,0.2,3.0,0.71,0.1,0.1,0.2,30.8,38.5,0.0,7.1,0.0,0.0,28.6,20.2
Derrick Jones Jr.,LAC,77,0.2,2.0,0.71,0.1,0.1,0.2,30.8,30.8,14.3,0.0,14.3,7.1,35.7,20.2
Domantas Sabonis,SAC,70,0.2,1.1,0.71,0.1,0.1,0.1,55.6,55.6,14.3,21.4,14.3,0.0,35.7,20.2
Kelly Olynyk,TOR,24,0.6,8.7,0.67,0.4,0.2,0.4,44.4,55.6,0.0,40.0,0.0,0.0,26.7,13.7
Kelly Olynyk,NOP,20,0.8,7.2,0.63,0.5,0.2,0.4,50.0,50.0,12.5,37.5,6.3,0.0,37.5,9.6
Simone Fontecchio,DET,75,0.2,3.5,0.63,0.1,0.0,0.2,25.0,25.0,12.5,12.5,12.5,0.0,31.3,9.6
Georges Niang,CLE,51,0.2,2.7,0.82,0.2,0.1,0.2,37.5,37.5,18.2,18.2,18.2,9.1,36.4,40.1
Caleb Martin,DAL,14,0.9,12.2,0.75,0.6,0.3,0.8,36.4,36.4,8.3,8.3,8.3,8.3,33.3,26.9
Dillon Jones,OKC,54,0.3,9.1,0.56,0.2,0.1,0.2,33.3,38.9,18.8,25.0,18.8,0.0,31.3,6.8
Marcus Smart,MEM,19,0.9,9.0,0.50,0.5,0.2,0.6,33.3,37.5,0.0,33.3,0.0,0.0,22.2,3.9
Delon Wright,NYK,14,0.7,16.1,0.80,0.6,0.1,0.4,33.3,33.3,30.0,20.0,30.0,10.0,40.0,35.3
Kyle Anderson,GSW,36,0.4,6.5,0.54,0.2,0.1,0.3,27.3,31.8,0.0,15.4,0.0,0.0,23.1,5.1
Ryan Dunn,PHX,74,0.1,1.9,0.60,0.1,0.0,0.1,37.5,37.5,0.0,20.0,0.0,0.0,30.0,7.7
Jeremiah Robinson-Earl,NOP,66,0.2,3.1,0.46,0.1,0.0,0.2,25.0,25.0,0.0,7.7,0.0,0.0,23.1,3.3
Jake LaRavia,MEM,47,0.2,3.1,0.36,0.1,0.0,0.2,25.0,25.0,0.0,27.3,0.0,0.0,18.2,2.1
Patty Mills,UTA,18,0.9,18.3,0.23,0.2,0.1,0.5,22.2,22.2,0.0,47.1,0.0,0.0,11.8,0.6
Royce O'Neale,PHX,75,0.1,1.5,0.30,0.0,0.0,0.1,11.1,16.7,0.0,10.0,0.0,0.0,10.0,1.2
Garrison Mathews,ATL,47,0.2,3.5,0.27,0.1,0.0,0.2,10.0,15.0,0.0,9.1,0.0,0.0,9.1,0.9
Elfrid Payton,CHA,6,2.0,42.9,0.17,0.3,0.2,1.8,9.1,9.1,0.0,8.3,0.0,0.0,8.3,0.3
Jonathan Mogbo,TOR,63,0.2,3.0,0.00,0.0,0.0,0.2,0.0,0.0,0.0,21.4,0.0,0.0,0.0,0.0
